"Service","Claude Sonnet 4.5 ( Bedrock Edition)($)","Claude 3 Haiku ( Bedrock Edition)($)","Key Management Service($)","Config($)","Security Hub($)","Tax($)","CloudWatch($)","GuardDuty($)","SNS($)","S3($)","Payment Cryptography($)","Cost Explorer($)","WAF($)","Secrets Manager($)","CloudTrail($)","Glue($)","SQS($)","Step Functions($)","CloudFormation($)","Inspector($)","Total costs($)"
"Service total","1064.833280115","17.30856325","9.2385387301","8.482859","5.964651","5.57","3.308768861","0.5899548501","0.1516042412","0.0257446049","0.01796564","0.0154","0.0120407996","0.0045045","0.002387","0.0001386","0.000131516","2.14e-8","0","0","1115.5265327293"
"2025-09-22","","","","","","","","","","","","","","","","","","","","","0"
"2025-09-23","","","","","","","","","","","","","","","","","","","","","0"
"2025-09-24","","","","","","","","","","","","","","","","","","","","","0"
"2025-09-25","","","","","","","","","","","","","","","","","","","","","0"
"2025-09-26","","","0.1006918785","2.330482","0","1.24","0.0358933618","0","0.0006398415","0.0003350284","","","0.0120407996","0.00002695","0.00010857","0.00000385","0.000004312","0.0000000013","0","","3.7202265931"
"2025-09-27","","","0.205626714","1.749286","0","","0.0728613633","0","0.00096558","0.000231562","","","0","0.0000847","0.00003311","0.00000308","0.000002156","0.0000000013","","0","2.0290942666"
"2025-09-28","","","0.205751454","0.035651","0","","0.0725841293","0","0.0008344713","0.0003553627","","","0","0.00008855","0.00004466","0.00000308","0.000002464","","","0","0.3153151713"
"2025-09-29","","","0.205996314","0.469161","0","","0.0883387373","0","0.0012305193","0.000410256","","","0","0.00009625","0.00023793","0.00000308","0.00000308","","","0","0.7654771666"
"2025-09-30","","","0.205959354","0.310926","0","","0.0747317216","0","0.0010527832","0.0004128104","","","0","0.0000924","0.00028259","0.00000308","0.000002772","0.0000000011","","0","0.5934635123"
"2025-10-01","3.744984375","","0.1981182442","0.20944","0","2.59","0.0757129997","0","0.0008297445","0.0004242609","","","0","0.00009625","0.00017402","0.00000308","0.00000308","","","0","6.8197860543"
"2025-10-02","3.28459065","0.01015425","0.1983492442","0.4081","0","0","0.0782451002","0","0.0010866007","0.0004759333","","0.0077","0","0.0000924","0.00016016","0.00000308","0.000002772","0.0000000011","","0","3.9889601915"
"2025-10-03","0.41835354","0.00551425","0.1990954404","0.34496","0","","0.0722588203","0","0.0010097271","0.0004540521","","","0","0.0000924","0.00008855","0.00000308","0.000002772","0.0000000013","","0","1.0418326332"
"2025-10-04","","","0.1980142942","0.121044","0","","0.0697494432","0","0.0008411566","0.00047079","","","0","0.0000924","0.00003234","0.00000308","0.000002772","0.0000000013","","0","0.3902502773"
"2025-10-05","","","0.1991393304","0.070224","0","","0.0716940696","0","0.0009819631","0.0004860465","","","0","0.00009625","0.00003311","0.00000308","0.00000308","","","0","0.3426609296"
"2025-10-06","39.353385225","2.2377675","0.1990492404","0.054054","0","","0.0727310429","0","0.004148964","0.0004662955","","","0","0.0000924","0.00003157","0.00000308","0.000002772","0.0000000011","","0","41.9217320909"
"2025-10-07","10.54528926","1.09489925","0.1992063204","0.054054","0","","0.072053307","0","0.0044415776","0.0004862854","","","0","0.0000924","0.00003465","0.00000308","0.000002772","","","0","11.9705629024"
"2025-10-08","8.52634728","0.61497825","0.1992017004","0.129052","0","","0.0704991239","0","0.0044058681","0.0004779211","","","0","0.0000924","0.00003696","0.00000308","0.000002772","0.0000000013","","0","9.5450973568"
"2025-10-09","15.55702467","0.94406175","0.1990492404","0.0539","0","","0.0697059834","0","0.0044161688","0.0004627599","","","0","0.0000924","0.00003157","0.00000308","0.000002772","0.0000000011","","0","16.8287503956"
"2025-10-10","","","0.1990492404","0.08855","0","","0.0688856336","0","0.0042694632","0.000469468","","","0","0.0000924","0.00003311","0.00000308","0.000002772","","","0","0.3613551672"
"2025-10-11","","","0.1990492404","0.0539","0","","0.0689796648","0","0.0039081124","0.0004662853","","","0","0.0000924","0.00003157","0.00000308","0.000002772","","","0","0.3264331249"
"2025-10-12","","","0.1991046804","0.07007","0","","0.0689238807","0","0.0036201888","0.0004815303","","","0","0.0000924","0.00003311","0.00000308","0.000002772","","","0","0.3423316422"
"2025-10-13","14.21610993","0.64023975","0.1990376904","0.044891","0","","0.0688345662","0","0.0037104693","0.0004431791","","","0","0.00008855","0.00003157","0.00000308","0.000002464","","","0","15.173392249"
"2025-10-14","41.161352595","2.06865375","0.1990607904","0.042581","0","","0.0702996685","0","0.0039171567","0.0004823154","","","0","0.00009625","0.00003157","0.00000308","0.00000308","0.0000000011","","0","43.5464812571"
"2025-10-15","45.326461455","2.34302275","0.1991277804","0.042581","0","","0.0715412794","0","0.0038069514","0.0004743916","","","0","0.0000924","0.00003311","0.00000308","0.000002772","","","0","47.9871469698"
"2025-10-16","18.737206125","0.89318275","0.1980258442","0.042581","0","","0.0699423112","0","0.0039113874","0.0005092772","","","0","0.00009625","0.00003157","0.00000308","0.00000308","","","0","19.945492675"
"2025-10-17","35.60956773","1.524331","0.1990538604","0.056441","0","","0.0710303148","0","0.0041407762","0.0005641529","","","0","0.0000924","0.00003234","0.00000308","0.000002772","0.0000000013","","0","37.4652594276"
